Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,149.800003,186.000000,136.669998,181.410004,181.410004,183932300
2014-02-01,182.889999,265.000000,169.360001,244.809998,244.809998,225954100
2014-03-01,237.259995,260.000000,203.000000,208.449997,208.449997,166685600
2014-04-01,209.020004,235.729996,184.320007,207.889999,207.889999,165207800
2014-05-01,207.080002,218.660004,177.220001,207.770004,207.770004,134810100
2014-06-01,207.330002,244.490005,199.250000,240.059998,240.059998,123362700
2014-07-01,242.460007,243.440002,213.600006,223.300003,223.300003,107952700
2014-08-01,226.089996,272.000000,226.000000,269.700012,269.700012,114847200
2014-09-01,275.500000,291.420013,240.119995,242.679993,242.679993,132848300
2014-10-01,242.199997,265.540009,217.320007,241.699997,241.699997,152052500
2014-11-01,243.000000,259.989990,228.500000,244.520004,244.520004,107721800
2014-12-01,241.160004,242.470001,192.649994,222.410004,222.410004,127050800
2015-01-01,222.869995,223.250000,185.000000,203.600006,203.600006,90108200
2015-02-01,203.970001,225.479996,193.279999,203.339996,203.339996,106670000
2015-03-01,202.699997,206.190002,181.399994,188.770004,188.770004,122767100
2015-04-01,188.699997,238.750000,186.050003,226.050003,226.050003,98922900
2015-05-01,229.940002,252.869995,220.250000,250.800003,250.800003,89115000
2015-06-01,251.410004,271.410004,245.679993,268.260010,268.260010,65448300
2015-07-01,271.109985,286.649994,250.789993,266.149994,266.149994,80061000
2015-08-01,266.290009,271.000000,195.000000,249.059998,249.059998,115220000
2015-09-01,240.339996,271.570007,236.970001,248.399994,248.399994,80248200
2015-10-01,247.509995,249.839996,202.000000,206.929993,206.929993,100752700
2015-11-01,208.919998,234.580002,205.800003,230.259995,230.259995,78468700
2015-12-01,231.059998,243.630005,214.869995,240.009995,240.009995,59839200
2016-01-01,230.720001,231.380005,182.410004,191.199997,191.199997,79228100
2016-02-01,188.759995,199.520004,141.050003,191.929993,191.929993,133577600
2016-03-01,194.250000,239.880005,181.500000,229.770004,229.770004,102894800
2016-04-01,244.830002,269.339996,233.250000,240.759995,240.759995,135447500
2016-05-01,241.500000,243.190002,203.660004,223.229996,223.229996,102846400
2016-06-01,221.479996,240.850006,187.869995,212.279999,212.279999,121649400
2016-07-01,206.139999,235.279999,206.000000,234.789993,234.789993,74047800
2016-08-01,235.500000,236.630005,208.649994,212.009995,212.009995,62252600
2016-09-01,209.009995,211.100006,193.449997,204.029999,204.029999,70621500
2016-10-01,212.300003,215.669998,192.000000,197.729996,197.729996,92108100
2016-11-01,198.039993,199.350006,178.190002,189.399994,189.399994,98849200
2016-12-01,188.250000,223.800003,180.000000,213.690002,213.690002,87959600
2017-01-01,214.860001,258.459991,210.960007,251.929993,251.929993,100651500
2017-02-01,253.050003,287.390015,242.009995,249.990005,249.990005,119524200
2017-03-01,254.179993,282.000000,242.779999,278.299988,278.299988,107035300
2017-04-01,286.899994,314.799988,284.579987,314.070007,314.070007,116908500
2017-05-01,314.880005,342.890015,290.760010,341.010010,341.010010,148046300
2017-06-01,344.000000,386.989990,334.209991,361.609985,361.609985,185899400
2017-07-01,370.239990,371.350006,303.130005,323.470001,323.470001,181640000
2017-08-01,323.000000,370.000000,311.220001,355.899994,355.899994,136925100
2017-09-01,356.119995,389.609985,335.399994,341.100006,341.100006,111512700
2017-10-01,342.519989,363.000000,316.660004,331.529999,331.529999,123036700
2017-11-01,332.250000,332.609985,292.630005,308.850006,308.850006,148812800
2017-12-01,305.440002,347.440002,300.000000,311.350006,311.350006,109884700
